Tue Oct 12 14:32:20 2010 (PID:23462) : |  ERROR | -> MSG: get_shared_memory_slave(): error allocating shared memory space (shmget): File exists
Sun Oct 24 18:49:34 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 18:49:34 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 18:49:34 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 18:49:34 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 18:49:34 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 18:49:34 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 18:49:34 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 18:49:34 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 18:49:34 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 18:49:34 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 18:49:34 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 18:49:34 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 18:49:34 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 18:49:34 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:09:35 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:09:35 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:09:35 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:09:35 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:09:35 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:09:35 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:09:35 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:09:35 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:09:35 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:09:35 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:09:35 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:09:35 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:09:35 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:09:35 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:09:35 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:09:35 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:29:38 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:29:38 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:29:38 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:29:38 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:29:38 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:29:38 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:29:38 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:29:38 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:29:38 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:29:38 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:29:38 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:29:38 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:29:38 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:29:38 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:29:38 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:29:38 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 19:49:41 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
